Nama Restaurant,Rating,Price,Daerah,Tipe_1,Tipe_2,Tipe_3,Label
Pak Ngah Kopitiam,2.9,50000,"Senopati, Jakarta",Jawa,Chinese,-,1
Dapur Mampang H. Rachmat,4.8,50000,"Mampang Prapatan, Jakarta",Indonesia,Makanan Sehat Food,-,1
betterCHOCOlatethannever,4.1,50000,"Dharmawangsa, Jakarta",Desserts,-,-,1
Martabak AA,4.2,50000,"Manggarai, Jakarta",Makanan Jalanan,Martabak,-,1
Iga Bagus,4.1,50000,"Tebet, Jakarta",Indonesia,-,-,1
Galleon Coffee,4,50000,"Kebayoran Lama, Jakarta",Kopi,Tea,Camilan,1
Kapyc Coffee,3.8,50000,"Senopati, Jakarta",Kopi,-,-,1
Sangre Kopi dan Gelato,3.6,50000,"Bintaro, Jakarta",Kafe,Ice Cream,Kopi,1
Hole in One Coffee,3.6,50000,"Cilandak, Jakarta",Kopi,Desserts,-,1
Honey Beans Coffee & Roastery,3.9,50000,"Pondok Indah, Jakarta",Tea,Camilan,Indonesia,1
Kopi Ini,2.8,50000,"Lebak Bulus, Jakarta",Kopi,Tea,-,1
Richeese Factory,3.8,50000,"Mampang Prapatan, Jakarta",Fast Food,-,-,1
Haka Dimsum Shop,4.3,50000,"Kemang, Jakarta",Dimsum,-,-,1
Warcon Warung Container,5,50000,"Cilandak, Jakarta",Kopi,Fast Food,-,1
Burgushi,3.8,50000,"Tebet, Jakarta",Jepang,-,-,1
BangiKopi,3.5,50000,"Pasar Minggu, Jakarta",Indonesia,Peranakan,Kopi,1
Bubur Ayam Sukabumi,3.4,50000,"Tebet, Jakarta",Indonesia,-,-,1
Skut Kopi,3.9,50000,"Blok M, Jakarta",Kafe,-,-,1
Roti Bakar Eddy,3.3,50000,"Pondok Indah, Jakarta",Indonesia,Bakmi,-,1
Cordelia,3.6,50000,"Kemang, Jakarta",Roti,Desserts,-,1
Teduh Coffee,3.8,50000,"Fatmawati, Jakarta",Kopi,Indonesia,-,1
RUL'S Coffee Gallery,3.8,50000,"Manggarai, Jakarta",Kopi,Desserts,-,1
Pizza Place,3.7,50000,"M Bloc Space, Senopati, Jakarta",Pizza,-,-,1
Magia Coffee,3.6,50000,"Fatmawati, Jakarta",Kopi,Beverages,Camilan,1
CengLi!,3.8,50000,"Kemang, Jakarta",Chinese,-,-,1
Martabakku Menteng,3.7,50000,"Kemang, Jakarta",Makanan Jalanan,Martabak,-,1
Kedai 3 Jari,3,50000,"Bintaro, Jakarta",Makanan Jalanan,Steak,Indonesia,1
Cwims,3.3,50000,"Lebak Bulus, Jakarta",Bakmi,-,-,1
Sumorice,3.8,53000,"Melawai, Jakarta",Jepang,-,-,1
GROM,4.3,55000,"Plaza Senayan, Senayan, Jakarta",Ice Cream,Desserts,-,1
Djournal Coffee,3.8,55000,"Senayan City, Senayan, Jakarta",Kopi,Minuman,Fusion,1
